,English,,Simplified Chinese,
2320331,"Telarah Station, Platform 1",Telarah,特拉赫 (Telarah) 站 1 号站台,特拉赫 (Telarah)
2321161,"Lochinvar Station, Platform 1",Lochinvar,洛琴瓦 (Lochinvar) 站 1 号站台,洛琴瓦 (Lochinvar)
2321162,"Lochinvar Station, Platform 2",Lochinvar,洛琴瓦 (Lochinvar) 站 2 号站台,洛琴瓦 (Lochinvar)
2322221,"Beresfield Station, Platform 1",Beresfield,贝雷斯菲尔德 (Beresfield) 站 1 号站台,贝雷斯菲尔德 (Beresfield)
2322222,"Beresfield Station, Platform 2",Beresfield,贝雷斯菲尔德 (Beresfield) 站 2 号站台,贝雷斯菲尔德 (Beresfield)
2322231,"Hexham Station, Platform 1",Hexham,赫克瑟姆 (Hexham) 站 1 号站台,赫克瑟姆 (Hexham)
2322232,"Hexham Station, Platform 2",Hexham,赫克瑟姆 (Hexham) 站 2 号站台,赫克瑟姆 (Hexham)
2322241,"Tarro Station, Platform 1",Tarro,塔罗 (Tarro) 站 1 号站台,塔罗 (Tarro)
2322242,"Tarro Station, Platform 2",Tarro,塔罗 (Tarro) 站 2 号站台,塔罗 (Tarro)
2322251,"Thornton Station, Platform 1",Thornton,桑顿 (Thornton) 站 1 号站台,桑顿 (Thornton)
2322252,"Thornton Station, Platform 2",Thornton,桑顿 (Thornton) 站 2 号站台,桑顿 (Thornton)
2323311,"East Maitland Station, Platform 1",East Maitland,东梅特兰 (East Maitland) 站 1 号站台,东梅特兰 (East Maitland)
2323312,"East Maitland Station, Platform 2",East Maitland,东梅特兰 (East Maitland) 站 2 号站台,东梅特兰 (East Maitland)
2323322,"Metford Station, Platform 2",East Maitland,梅特福德 (Metford) 站 2 号站台,东梅特兰 (East Maitland)
2323331,"Victoria Street Station, Platform 1",East Maitland,维多利亚街 (Victoria Street) 站 1 号站台,东梅特兰 (East Maitland)
2330181,"Singleton Station, Platform 1",Singleton,辛格尔顿 (Singleton) 站 1 号站台,辛格尔顿 (Singleton)
233321,"Muswellbrook Station, Platform 1",Muswellbrook,马瑟尔布鲁克 (Muswellbrook) 站 1 号站台,马瑟尔布鲁克 (Muswellbrook)
233461,"Greta Station, Platform 1",Greta,格里塔 (Greta) 站 1 号站台,格里塔 (Greta)
233462,"Greta Station, Platform 2",Greta,格里塔 (Greta) 站 2 号站台,格里塔 (Greta)
233591,"Branxton Station, Platform 1",Branxton,布兰克斯顿 (Branxton) 站 1 号站台 ,布兰克斯顿 (Branxton)
233592,"Branxton Station, Platform 2",Branxton,布兰克斯顿 (Branxton) 站 2 号站台,布兰克斯顿 (Branxton)
233621,"Aberdeen Station, Platform 1",Aberdeen,阿伯丁 (Aberdeen) 站 1 号站台 ,阿伯丁 (Aberdeen)
233731,"Scone Station, Platform 1",Scone,斯昆 (Scone) 站 1 号站台,斯昆 (Scone)
2420101,"Wirragulla Station, Platform 1",Wirragulla,韦拉古拉 (Wirragulla) 站 1 号站台,韦拉古拉 (Wirragulla)
242062,"Dungog Station, Platform 2",Dungog,敦格 (Dungog) 站 2 号站台,敦格 (Dungog)
242071,"Hilldale Station, Platform 1",Hilldale,希尔戴尔 (Hilldale) 站 1 号站台,希尔戴尔 (Hilldale)
242081,"Martins Creek Station, Platform 1",Martins Creek,马丁斯溪 (Martins Creek) 站 1 号站台,马丁斯溪 (Martins Creek)
242141,"Paterson Station, Platform 1",Paterson,帕特森 (Paterson) 站 1 号站台,帕特森 (Paterson)
2500371,"Coniston Station, Platform 1",Coniston,科尼斯顿 (Coniston) 站 1 号站台,科尼斯顿 (Coniston)
2500372,"Coniston Station, Platform 2",Coniston,科尼斯顿 (Coniston) 站 2 号站台,科尼斯顿 (Coniston)
2500381,"Lysaghts Station, Platform 1",Spring Hill,莱萨特 (Lysaghts) 站 1 号站台,春山 (Spring Hill)
2500391,"North Wollongong Station, Platform 1",North Wollongong,北卧龙岗 (North Wollongong) 站 1 号站台,北卧龙岗 (North Wollongong)
2500401,"Wollongong Station, Platform 1",Wollongong,卧龙岗 (Wollongong) 站 1 号站台,卧龙岗 (Wollongong)
2500402,"Wollongong Station, Platform 2",Wollongong,卧龙岗 (Wollongong) 站 2 号站台,卧龙岗 (Wollongong)
2500403,"Wollongong Station, Up Dock",Wollongong,卧龙岗 (Wollongong) 站上码头,卧龙岗 (Wollongong)
2500404,"Wollongong Station, Down Dock",Wollongong,卧龙岗 (Wollongong) 站下码头,卧龙岗 (Wollongong)
2505101,"Port Kembla North Station, Platform 1",Port Kembla,肯布拉港北 (Port Kembla North) 站 1 号站台,肯布拉港 (Port Kembla)
2505111,"Port Kembla Station, Platform 1",Port Kembla,肯布拉港 (Port Kembla) 站 1 号站台,肯布拉港 (Port Kembla)
250581,"Cringila Station, Platform 1",Port Kembla,克日恩吉拉 (Cringila) 站 1 号站台,肯布拉港 (Port Kembla)
250592,"Lysaghts Station, Platform 2",Port Kembla,莱萨特 (Lysaghts) 站 2 号站台,肯布拉港 (Port Kembla)
2508151,"Coalcliff Station, Platform 1",Coalcliff,寇科利夫 (Coalcliff) 站 1 号站台,寇科利夫 (Coalcliff)
2508152,"Coalcliff Station, Platform 2",Coalcliff,寇科利夫 (Coalcliff) 站 2 号站台,寇科利夫 (Coalcliff)
2508161,"Helensburgh Station, Platform 1",Helensburgh,海伦斯堡 (Helensburgh) 站 1 号站台,海伦斯堡 (Helensburgh)
2508162,"Helensburgh Station, Platform 2",Helensburgh,海伦斯堡 (Helensburgh) 站 2 号站台,海伦斯堡 (Helensburgh)
2508171,"Otford Station, Platform 1",Otford,奥特福德 (Otford) 站 1 号站台,奥特福德 (Otford)
2508181,"Stanwell Park Station, Platform 1",Stanwell Park,斯坦威尔公园 (Stanwell Park) 站 1 号站台,斯坦威尔公园 (Stanwell Park)
2515111,"Austinmer Station, Platform 1",Austinmer,奥斯汀莫 (Austinmer) 站 1 号站台,奥斯汀莫 (Austinmer)
2515121,"Coledale Station, Platform 1",Coledale,科尔代尔 (Coledale) 站 1 号站台,科尔代尔 (Coledale)
2515122,"Coledale Station, Platform 2",Coledale,科尔代尔 (Coledale) 站 2 号站台,科尔代尔 (Coledale)
2515131,"Scarborough Station, Platform 1",Scarborough,斯卡伯勒 (Scarborough) 站 1 号站台,斯卡伯勒 (Scarborough)
2515132,"Scarborough Station, Platform 2",Scarborough,斯卡伯勒 (Scarborough) 站 2 号站台,斯卡伯勒 (Scarborough)
2515142,"Thirroul Station, Platform 2",Thirroul,舌努 (Thirroul) 站 2 号站台,舌努 (Thirroul)
2515143,"Thirroul Station, Platform 3",Thirroul,舌努 (Thirroul) 站 3 号站台,舌努 (Thirroul)
2515152,"Wombarra Station, Platform 2",Wombarra,沃姆巴拉 (Wombarra) 站 2 号站台,沃姆巴拉 (Wombarra)
251671,"Bulli Station, Platform 1",Bulli,布利 (Bulli) 站 1 号站台,布利 (Bulli)
251672,"Bulli Station, Platform 2",Bulli,布利 (Bulli) 站 2 号站台,布利 (Bulli)
251781,"Woonona Station, Platform 1",Woonona,伍诺纳 (Woonona) 站 1 号站台,伍诺纳 (Woonona)
251782,"Woonona Station, Platform 2",Woonona,伍诺纳 (Woonona) 站 2 号站台,伍诺纳 (Woonona)
2518131,"Bellambi Station, Platform 1",Bellambi,贝拉比 (Bellambi) 站 1 号站台,贝拉比 (Bellambi)
2518132,"Bellambi Station, Platform 2",Bellambi,贝拉比 (Bellambi) 站 2 号站台,贝拉比 (Bellambi)
2518141,"Corrimal Station, Platform 1",Corrimal,科里莫尔 (Corrimal) 站 1 号站台,科里莫尔 (Corrimal)
2518142,"Corrimal Station, Platform 2",Corrimal,科里莫尔 (Corrimal) 站 2 号站台,科里莫尔 (Corrimal)
2518151,"Towradgi Station, Platform 1",Towradgi,陶沃拉奇 (Towradgi) 站 1 号站台,陶沃拉奇 (Towradgi)
2142324,"Granville Station, Platform 4",Granville,格兰维尔 (Granville) 站 4 号站台,格兰维尔 (Granville)
2142331,"Rosehill Station, Platform 1",Rosehill,玫瑰山 (Rosehill) 站 1 号站台,玫瑰山 (Rosehill)
214381,"Birrong Station, Platform 1",Birrong,比容 (Birrong) 站 1 号站台,比容 (Birrong)
214382,"Birrong Station, Platform 2",Birrong,比容 (Birrong) 站 2 号站台,比容 (Birrong)
214392,"Regents Park Station, Platform 2",Regents Park,摄政公园 (Regents Park) 站 2 号站台,摄政公园 (Regents Park)
2144241,"Auburn Station, Platform 1",Auburn,奥本 (Auburn) 站 1 号站台,奥本 (Auburn)
2144242,"Auburn Station, Platform 2",Auburn,奥本 (Auburn) 站 2 号站台,奥本 (Auburn)
2144243,"Auburn Station, Platform 3",Auburn,奥本 (Auburn) 站 3 号站台,奥本 (Auburn)
2144244,"Auburn Station, Platform 4",Auburn,奥本 (Auburn) 站 4 号站台,奥本 (Auburn)
2145643,"Pendle Hill Station, Platform 3",Pendle Hill,佩杜山 (Pendle Hill) 站 3 号站台,佩杜山 (Pendle Hill)
2145644,"Pendle Hill Station, Platform 4",Pendle Hill,佩杜山 (Pendle Hill) 站 4 号站台,佩杜山 (Pendle Hill)
2145651,"Wentworthville Station, Platform 1",Wentworthville,韦沃镇 (Wentworthville) 站 1 号站台,韦沃镇 (Wentworthville)
2145652,"Wentworthville Station, Platform 2",Wentworthville,韦沃镇 (Wentworthville) 站 2 号站台,韦沃镇 (Wentworthville)
2145654,"Wentworthville Station, Platform 4",Wentworthville,韦沃镇 (Wentworthville) 站 4 号站台,韦沃镇 (Wentworthville)
2145662,"Westmead Station, Platform 2",Westmead,威士密 (Westmead) 站 2 号站台,威士密 (Westmead)
2145663,"Westmead Station, Platform 3",Westmead,威士密 (Westmead) 站 3 号站台,威士密 (Westmead)
2145664,"Westmead Station, Platform 4",Westmead,威士密 (Westmead) 站 4 号站台,威士密 (Westmead)
2146111,"Toongabbie Station, Platform 1",Toongabbie,通格比 (Toongabbie) 站 1 号站台,通格比 (Toongabbie)
2146112,"Toongabbie Station, Platform 2",Toongabbie,通格比 (Toongabbie) 站 2 号站台,通格比 (Toongabbie)
2146113,"Toongabbie Station, Platform 3",Toongabbie,通格比 (Toongabbie) 站 3 号站台,通格比 (Toongabbie)
2146114,"Toongabbie Station, Platform 4",Toongabbie,通格比 (Toongabbie) 站 4 号站台,通格比 (Toongabbie)
2147421,"Seven Hills Station, Platform 1",Seven Hills,七山 (Seven Hills) 站 1 号站台,七山 (Seven Hills)
2147422,"Seven Hills Station, Platform 2",Seven Hills,七山 (Seven Hills) 站 2 号站台,七山 (Seven Hills)
2147423,"Seven Hills Station, Platform 3",Seven Hills,七山 (Seven Hills) 站 3 号站台,七山 (Seven Hills)
2147424,"Seven Hills Station, Platform 4",Seven Hills,七山 (Seven Hills) 站 4 号站台,七山 (Seven Hills)
2148531,"Blacktown Station, Platform 1",Blacktown,黑镇 (Blacktown) 站 1 号站台,黑镇 (Blacktown)
2148532,"Blacktown Station, Platform 2",Blacktown,黑镇 (Blacktown) 站 2 号站台,黑镇 (Blacktown)
2148534,"Blacktown Station, Platform 4",Blacktown,黑镇 (Blacktown) 站 4 号站台,黑镇 (Blacktown)
2222131,"Penshurst Station, Platform 1",Penshurst,潘石斯 (Penshurst) 站 1 号站台,潘石斯 (Penshurst)
2222132,"Penshurst Station, Platform 2",Penshurst,潘石斯 (Penshurst) 站 2 号站台,潘石斯 (Penshurst)
2223291,"Mortdale Station, Platform 1",Mortdale,莫底 (Mortdale) 站 1 号站台,莫底 (Mortdale)
2223292,"Mortdale Station, Platform 2",Mortdale,莫底 (Mortdale) 站 2 号站台,莫底 (Mortdale)
2223301,"Oatley Station, Platform 1",Oatley,奥特利 (Oatley) 站 1 号站台,奥特利 (Oatley)
2223302,"Oatley Station, Platform 2",Oatley,奥特利 (Oatley) 站 2 号站台,奥特利 (Oatley)
2226101,"Como Station, Platform 1",Como,科莫 (Como) 站 1 号站台,科莫 (Como)
2226102,"Como Station, Platform 2",Como,科莫 (Como) 站 2 号站台,科莫 (Como)
2226111,"Jannali Station, Platform 1",Jannali,詹纳利 (Jannali) 站 1 号站台,詹纳利 (Jannali)
2226112,"Jannali Station, Platform 2",Jannali,詹纳利 (Jannali) 站 2 号站台,詹纳利 (Jannali)
2227101,"Gymea Station, Platform 1",Gymea,吉米 (Gymea) 站 1 号站台,吉米 (Gymea)
2227102,"Gymea Station, Platform 2",Gymea,吉米 (Gymea) 站 2 号站台,吉米 (Gymea)
2228132,"Miranda Station, Platform 2",Miranda,米兰达 (Miranda) 站 2 号站台,米兰达 (Miranda)
2229221,"Caringbah Station, Platform 1",Caringbah,卡灵巴 (Caringbah) 站 1 号站台,卡灵巴 (Caringbah)
2229222,"Caringbah Station, Platform 2",Caringbah,卡灵巴 (Caringbah) 站 2 号站台,卡灵巴 (Caringbah)
2230222,"Woolooware Station, Platform 2",Woolooware,乌鲁瓦 (Woolooware) 站 2 号站台,乌鲁瓦 (Woolooware)
2232271,"Kirrawee Station, Platform 1",Kirrawee,奇娃尔 (Kirrawee) 站 1 号站台,奇娃尔 (Kirrawee)
2232272,"Kirrawee Station, Platform 2",Kirrawee,奇娃尔 (Kirrawee) 站 2 号站台,奇娃尔 (Kirrawee)
2232281,"Loftus Station, Platform 1",Loftus,洛夫特斯 (Loftus) 站 1 号站台,洛夫特斯 (Loftus)
2232282,"Loftus Station, Platform 2",Loftus,洛夫特斯 (Loftus) 站 2 号站台,洛夫特斯 (Loftus)
2232291,"Sutherland Station, Platform 1",Sutherland,萨德兰 (Sutherland) 站 1 号站台,萨德兰 (Sutherland)
2232292,"Sutherland Station, Platform 2",Sutherland,萨德兰 (Sutherland) 站 2 号站台,萨德兰 (Sutherland)
2233271,"Engadine Station, Platform 1",Engadine,恩加丁 (Engadine) 站 1 号站台,恩加丁 (Engadine)
2233272,"Engadine Station, Platform 2",Engadine,恩加丁 (Engadine) 站 2 号站台,恩加丁 (Engadine)
2233292,"Waterfall Station, Platform 2",Waterfall,瀑布 (Waterfall) 站 2 号站台,瀑布 (Waterfall)
2250791,"Gosford Station, Platform 1",Gosford,戈斯福德 (Gosford) 站 1 号站台,戈斯福德 (Gosford)
2250792,"Gosford Station, Platform 2",Gosford,戈斯福德 (Gosford) 站 2 号站台,戈斯福德 (Gosford)
2250793,"Gosford Station, Platform 3",Gosford,戈斯福德 (Gosford) 站 3 号站台,戈斯福德 (Gosford)
2250801,"Lisarow Station, Platform 1",Lisarow,利萨罗 (Lisarow) 站 1 号站台,利沙露 (Lisarow)
2250802,"Lisarow Station, Platform 2",Lisarow,利萨罗 (Lisarow) 站 2 号站台,利沙露 (Lisarow)
2250811,"Narara Station, Platform 1",Narara,纳拉拉 (Narara) 站 1 号站台,纳拉拉 (Narara)
2250812,"Narara Station, Platform 2",Narara,纳拉拉 (Narara) 站 2 号站台,纳拉拉 (Narara)
2250821,"Niagara Park Station, Platform 1",Niagara Park,尼加拉公园 (Niagara Park) 站 1 号站台,尼加拉公园 (Niagara Park)
2250822,"Niagara Park Station, Platform 2",Niagara Park,尼加拉公园 (Niagara Park) 站 2 号站台,尼加拉公园 (Niagara Park)
2250831,"Point Clare Station, Platform 1",Point Clare,克莱尔尖岬 (Point Clare) 站 1 号站台,克莱尔尖岬 (Point Clare)
2250832,"Point Clare Station, Platform 2",Point Clare,克莱尔尖岬 (Point Clare) 站 2 号站台,克莱尔尖岬 (Point Clare)
2250841,"Tascott Station, Platform 1",Tascott,塔斯科特 (Tascott) 站 1 号站台,塔斯科特 (Tascott)
257971,"Exeter Station, Platform 1",Exeter,埃克塞特 (Exeter) 站 1 号站台,埃克塞特 (Exeter)
257972,"Exeter Station, Platform 2",Exeter,埃克塞特 (Exeter) 站 2 号站台,埃克塞特 (Exeter)
257981,"Marulan Station, Platform 1",Marulan,马鲁兰 (Marulan) 站 1 号站台,马鲁兰 (Marulan)
257991,"Penrose Station, Platform 1",Penrose,彭罗斯 (Penrose) 站 1 号站台,彭罗斯 (Penrose)
257992,"Penrose Station, Platform 2",Penrose,彭罗斯 (Penrose) 站 2 号站台,彭罗斯 (Penrose)
258051,"Goulburn Station, Platform 1",Goulburn,古尔本 (Goulburn) 站 1 号站台,古尔本 (Goulburn)
2518152,"Towradgi Station, Platform 2",Towradgi,陶沃拉奇 (Towradgi) 站 2 号站台,陶沃拉奇 (Towradgi)
2519131,"Fairy Meadow Station, Platform 1",Fairy Meadow,仙女草地 (Fairy Meadow) 站 1 号站台,仙女草地 (Fairy Meadow)
2526161,"Kembla Grange Station, Platform 1",Kembla Grange,坎布拉格兰奇 (Kembla Grange) 站 1 号站台,坎布拉格兰奇 (Kembla Grange)
2526172,"Unanderra Station, Platform 2",Unanderra,乌南德拉 (Unanderra) 站 2 号站台,乌南德拉 (Unanderra)
2527161,"Albion Park Station, Platform 1",Albion Park Rail,阿尔比恩公园 (Albion Park) 站 1 号站台,阿尔比恩公园铁路 (Albion Park Rail)
2527162,"Albion Park Station, Platform 2",Albion Park Rail,阿尔比恩公园 (Albion Park) 站 2 号站台,阿尔比恩公园铁路 (Albion Park Rail)
2529191,"Dunmore (Shellharbour) Station, Platform 1",Dunmore,邓莫尔（壳港市）(Dunmore (Shellharbour)) 站 1 号站台,邓莫尔 (Dunmore)
2529192,"Dunmore (Shellharbour) Station, Platform 2",Dunmore,邓莫尔（壳港市）(Dunmore (Shellharbour)) 站 2 号站台,邓莫尔 (Dunmore)
2529201,"Oak Flats Station, Platform 1",Oak Flats,橡树地 (Oak Flats) 站 1 号站台,橡树地 (Oak Flats)
2530232,"Dapto Station, Platform 2",Dapto,达普托 (Dapto) 站 2 号站台,达普托 (Dapto)
2530233,"Dapto Station, Platform 3",Dapto,达普托 (Dapto) 站 3 号站台,达普托 (Dapto)
2533201,"Bombo Station, Platform 1",Bombo,邦博 (Bombo) 站 1 号站台,邦博 (Bombo)
2533211,"Kiama Station, Platform 1",Kiama,基亚马 (Kiama) 站 1 号站台,基亚马 (Kiama)
2533221,"Minnamurra Station, Platform 1",Minnamurra,敏拉穆拉 (Minnamurra) 站 1 号站台,敏拉穆拉 (Minnamurra)
253481,"Gerringong Station, Platform 1",Gerringong,杰林冈 (Gerringong) 站 1 号站台,杰林冈 (Gerringong)
2541191,"Bomaderry Station, Platform 1",Bomaderry,博马德里 (Bomaderry) 站 1 号站台,博马德里 (Bomaderry)
2560691,"Campbelltown Station, Platform 1",Campbelltown,金宝镇 (Campbelltown) 站 1 号站台,金宝镇 (Campbelltown)
2560692,"Campbelltown Station, Platform 2",Campbelltown,金宝镇 (Campbelltown) 站 2 号站台,金宝镇 (Campbelltown)
2560693,"Campbelltown Station, Platform 3",Campbelltown,金宝镇 (Campbelltown) 站 3 号站台,金宝镇 (Campbelltown)
2560694,"Campbelltown Station, Platform 4",Campbelltown,金宝镇 (Campbelltown) 站 4 号站台,金宝镇 (Campbelltown)
2560701,"Leumeah Station, Platform 1",Leumeah,利尤梅 (Leumeah) 站 1 号站台,利尤梅 (Leumeah)
2560702,"Leumeah Station, Platform 2",Leumeah,利尤梅 (Leumeah) 站 2 号站台,利尤梅 (Leumeah)
2560711,"Macarthur Station, Platform 1",Campbelltown,麦克阿瑟 (Macarthur) 站 1 号站台,金宝镇 (Campbelltown)
2560713,"Macarthur Station, Platform 3",Campbelltown,麦克阿瑟 (Macarthur) 站 3 号站台,金宝镇 (Campbelltown)
256321,"Menangle Park Station, Platform 1",Menangle Park,梅南哥公园 (Menangle Park) 站 1 号站台,梅南哥公园 (Menangle Park)
256322,"Menangle Park Station, Platform 2",Menangle Park,梅南哥公园 (Menangle Park) 站 2 号站台,梅南哥公园 (Menangle Park)
2564141,"Macquarie Fields Station, Platform 1",Macquarie Fields,麦格理菲尔兹 (Macquarie Fields) 站 1 号站台,麦格理菲尔兹 (Macquarie Fields)
2565651,"Ingleburn Station, Platform 1",Ingleburn,英格尔伯恩 (Ingleburn) 站 1 号站台,英格尔伯恩 (Ingleburn)
2565652,"Ingleburn Station, Platform 2",Ingleburn,英格尔伯恩 (Ingleburn) 站 2 号站台,英格尔伯恩 (Ingleburn)
2566242,"Minto Station, Platform 2",Minto,明托 (Minto) 站 2 号站台,明托 (Minto)
256851,"Menangle Station, Platform 1",Menangle,梅南哥 (Menangle) 站 1 号站台,梅南哥 (Menangle)
256852,"Menangle Station, Platform 2",Menangle,梅南哥 (Menangle) 站 2 号站台,梅南哥 (Menangle)
2569141,"Douglas Park Station, Platform 1",Douglas Park,道格拉斯公园 (Douglas Park) 站 1 号站台,道格拉斯公园 (Douglas Park)
2569142,"Douglas Park Station, Platform 2",Douglas Park,道格拉斯公园 (Douglas Park) 站 2 号站台,道格拉斯公园 (Douglas Park)
2571161,"Picton Station, Platform 1",Picton,皮克顿 (Picton) 站 1 号站台,皮克顿 (Picton)
2571162,"Picton Station, Platform 2",Picton,皮克顿 (Picton) 站 2 号站台,皮克顿 (Picton)
257361,"Tahmoor Station, Platform 1",Tahmoor,塔莫尔 (Tahmoor) 站 1 号站台,塔莫尔 (Tahmoor)
257362,"Tahmoor Station, Platform 2",Tahmoor,塔莫尔 (Tahmoor) 站 2 号站台,塔莫尔 (Tahmoor)
257461,"Bargo Station, Platform 1",Bargo,巴高 (Bargo) 站 1 号站台,巴高 (Bargo)
257462,"Bargo Station, Platform 2",Bargo,巴高 (Bargo) 站 2 号站台,巴高 (Bargo)
2575131,"Mittagong Station, Platform 1",Mittagong,米塔贡 (Mittagong) 站 1 号站台,米塔贡 (Mittagong)
2575141,"Yerrinbool Station, Platform 1",Yerrinbool,耶连布尔 (Yerrinbool) 站 1 号站台,耶连布尔 (Yerrinbool)
2575142,"Yerrinbool Station, Platform 2",Yerrinbool,耶连布尔 (Yerrinbool) 站 2 号站台,耶连布尔 (Yerrinbool)
2576342,"Bowral Station, Platform 2",Bowral,鲍勒尔 (Bowral) 站 2 号站台,鲍勒尔 (Bowral)
2576351,"Burradoo Station, Platform 1",Burradoo,巴拉多 (Burradoo) 站 1 号站台,巴拉多 (Burradoo)
2576352,"Burradoo Station, Platform 2",Burradoo,巴拉多 (Burradoo) 站 2 号站台,巴拉多 (Burradoo)
2577201,"Moss Vale Station, Platform 1",Moss Vale,莫斯韦尔 (Moss Vale) 站 1 号站台,莫斯韦尔 (Moss Vale)
2577202,"Moss Vale Station, Platform 2",Moss Vale,莫斯韦尔 (Moss Vale) 站 2 号站台,莫斯韦尔 (Moss Vale)
257861,"Bundanoon Station, Platform 1",Bundanoon,邦达努 (Bundanoon) 站 1 号站台,邦达努 (Bundanoon)
257862,"Bundanoon Station, Platform 2",Bundanoon,邦达努 (Bundanoon) 站 2 号站台,邦达努 (Bundanoon)
2579102,"Tallong Station, Platform 2",Tallong,塔隆 (Tallong) 站 2 号站台,塔隆 (Tallong)
2782182,"Wentworth Falls Station, Platform 2",Wentworth Falls,温特沃斯瀑布 (Wentworth Falls) 站 2 号站台,温特沃斯瀑布 (Wentworth Falls)
278332,"Lawson Station, Platform 2",Lawson,劳森 (Lawson) 站 2 号站台,劳森 (Lawson)
258052,"Goulburn Station, Platform 2",Goulburn,古尔本 (Goulburn) 站 2 号站台,古尔本 (Goulburn)
258053,"Goulburn Station, Platform 3",Goulburn,古尔本 (Goulburn) 站 3 号站台,古尔本 (Goulburn)
2747362,"Kingswood Station, Platform 2",Kingswood,金斯伍德 (Kingswood) 站 2 号站台,金斯伍德 (Kingswood)
2747371,"Werrington Station, Platform 1",Werrington,沃灵顿 (Werrington) 站 1 号站台,沃灵顿 (Werrington)
2750491,"Emu Plains Station, Platform 1",Emu Plains,鸸鹋平原 (Emu Plains) 站 1 号站台,鸸鹋平原 (Emu Plains)
2750492,"Emu Plains Station, Platform 2",Emu Plains,鸸鹋平原 (Emu Plains) 站 2 号站台,鸸鹋平原 (Emu Plains)
2750502,"Lapstone Station, Platform 2",Leonay,拉普斯顿 (Lapstone) 站 2 号站台,利欧内 (Leonay)
2750511,"Penrith Station, Platform 1",Penrith,彭里斯 (Penrith) 站 1 号站台,彭里斯 (Penrith)
2750513,"Penrith Station, Platform 3",Penrith,彭里斯 (Penrith) 站 3 号站台,彭里斯 (Penrith)
2753661,"East Richmond Station, Platform 1",Richmond,东里士满 (East Richmond) 站 1 号站台,里士满 (Richmond)
2753671,"Richmond Station, Platform 1",Richmond,里士满 (Richmond) 站 1 号站台,里士满 (Richmond)
2753672,"Richmond Station, Platform 2",Richmond,里士满 (Richmond) 站 2 号站台,里士满 (Richmond)
2756431,"Clarendon Station, Platform 1",Clarendon,卡恩顿 (Clarendon) 站 1 号站台,卡恩顿 (Clarendon)
2756432,"Clarendon Station, Platform 2",Clarendon,卡恩顿 (Clarendon) 站 2 号站台,卡恩顿 (Clarendon)
2756441,"Mulgrave Station, Platform 1",Mulgrave,茂继乎 (Mulgrave) 站 1 号站台,茂继乎 (Mulgrave)
2756442,"Mulgrave Station, Platform 2",Mulgrave,茂继乎 (Mulgrave) 站 2 号站台,茂继乎 (Mulgrave)
2756451,"Windsor Station, Platform 1",Windsor,温莎 (Windsor) 站 1 号站台,温莎 (Windsor)
2760302,"St Marys Station, Platform 2",North St Marys,圣玛丽 (St Marys) 站 2 号站台,北圣玛丽 (North St Marys)
2760303,"St Marys Station, Platform 3",St Marys,圣玛丽 (St Marys) 站 3 号站台,圣玛丽 (St Marys)
2760304,"St Marys Station, Platform 4",St Marys,圣玛丽 (St Marys) 站 4 号站台,圣玛丽 (St Marys)
2762121,"Schofields Station, Platform 1",Schofields,史告菲 (Schofields) 站 1 号站台,史告菲 (Schofields)
2762122,"Schofields Station, Platform 2",Schofields,史告菲 (Schofields) 站 2 号站台,史告菲 (Schofields)
2763172,"Quakers Hill Station, Platform 2",Quakers Hill,贵格山 (Quakers Hill) 站 2 号站台,贵格山 (Quakers Hill)
2765291,"Riverstone Station, Platform 1",Riverstone,河石 (Riverstone) 站 1 号站台,河石 (Riverstone)
2765292,"Riverstone Station, Platform 2",Riverstone,河石 (Riverstone) 站 2 号站台,河石 (Riverstone)
2765301,"Vineyard Station, Platform 1",Vineyard,葡萄园 (Vineyard) 站 1 号站台,葡萄园 (Vineyard)
2766141,"Rooty Hill Station, Platform 1",Rooty Hill,鲁蒂山 (Rooty Hill) 站 1 号站台,鲁蒂山 (Rooty Hill)
2766142,"Rooty Hill Station, Platform 2",Rooty Hill,鲁蒂山 (Rooty Hill) 站 2 号站台,鲁蒂山 (Rooty Hill)
2766144,"Rooty Hill Station, Platform 4",Rooty Hill,鲁蒂山 (Rooty Hill) 站 4 号站台,鲁蒂山 (Rooty Hill)
2767122,"Doonside Station, Platform 2",Doonside,冬西 (Doonside) 站 2 号站台,冬西 (Doonside)
2767123,"Doonside Station, Platform 3",Doonside,冬西 (Doonside) 站 3 号站台,冬西 (Doonside)
2767124,"Doonside Station, Platform 4",Doonside,冬西 (Doonside) 站 4 号站台,冬西 (Doonside)
2770592,"Mount Druitt Station, Platform 2",Mount Druitt,德鲁伊特山 (Mount Druitt) 站 2 号站台,德鲁伊特山 (Mount Druitt)
2770593,"Mount Druitt Station, Platform 3",Mount Druitt,德鲁伊特山 (Mount Druitt) 站 3 号站台,德鲁伊特山 (Mount Druitt)
2770594,"Mount Druitt Station, Platform 4",Mount Druitt,德鲁伊特山 (Mount Druitt) 站 4 号站台,德鲁伊特山 (Mount Druitt)
277371,"Glenbrook Station, Platform 1",Glenbrook,格伦布鲁克 (Glenbrook) 站 1 号站台,格伦布鲁克 (Glenbrook)
277372,"Glenbrook Station, Platform 2",Glenbrook,格伦布鲁克 (Glenbrook) 站 2 号站台,格伦布鲁克 (Glenbrook)
277381,"Lapstone Station, Platform 1",Lapstone,拉普斯顿 (Lapstone) 站 1 号站台,拉普斯顿 (Lapstone)
2774111,"Blaxland Station, Platform 1",Blaxland,巴拉斯兰 (Blaxland) 站 1 号站台,巴拉斯兰 (Blaxland)
