,English,,Simplified Chinese,
2000453,Bridge Street Light Rail,Sydney,桥街 (Bridge Street) 轻轨,悉尼 (Sydney)
2000177,Bridge Street Light Rail,Sydney,桥街 (Bridge Street) 轻轨,悉尼 (Sydney)
2000255,Capitol Square Light Rail,Haymarket,国会大厦广场 (Capitol Square) 轻轨,喜市 (Haymarket)
2000200,Capitol Square Light Rail,Haymarket,国会大厦广场 (Capitol Square) 轻轨,喜市 (Haymarket)
2000256,Capitol Square Light Rail,Haymarket,国会大厦广场 (Capitol Square) 轻轨,喜市 (Haymarket)
2000448,Central Chalmers Street Light Rail,Haymarket,中央查尔莫斯街 (Central Chalmers Street) 轻轨,喜市 (Haymarket)
2010107,Central Chalmers Street Light Rail,Surry Hills,中央查尔莫斯街 (Central Chalmers Street) 轻轨,莎莉山 (Surry Hills)
2000447,Central Chalmers Street Light Rail,Haymarket,中央查尔莫斯街 (Central Chalmers Street) 轻轨,喜市 (Haymarket)
2000211,Central Chalmers Street Light Rail,Haymarket,中央查尔莫斯街 (Central Chalmers Street) 轻轨,喜市 (Haymarket)
2000257,Central Grand Concourse Light Rail,Haymarket,中央车站大厅 (Central Grand Concourse) 轻轨,喜市 (Haymarket)
2000443,Chinatown Light Rail,Haymarket,唐人街 (Chinatown) 轻轨,喜市 (Haymarket)
208465,"Halls Wharf, Morning Bay",Pittwater,霍尔斯码头 (Halls Wharf) 晨湾 (Morning Bay),皮特沃特 (Pittwater)
210542,North Elvina Wharf,Elvina Bay,北埃尔维纳湾 (North Elvina) 码头,埃尔维纳湾 (Elvina Bay)
210543,South Elvina Wharf,Elvina Bay,南埃尔维纳 (South Elvina) 码头,埃尔维纳湾 (Elvina Bay)
2251245,Saratoga Veterans Hall Wharf,Saratoga,萨拉托加退伍军人大厅 (Saratoga Veterans Hall) 码头,萨拉托加 (Saratoga)
2251300,"Davistown, Central RSL Wharf",Davistown,"戴维斯敦中央 RSL (Davistown, Central RSL) 码头",戴维斯敦 (Davistown)
2251302,"Davistown, Pine Av Wharf",Davistown,"戴维斯敦松树大街 (Davistown, Pine Av) 码头",戴维斯敦 (Davistown)
2257302,Wagstaffe Wharf,Wagstaffe,瓦格斯塔夫 (Wagstaffe) 码头,瓦格斯塔夫 (Wagstaffe)
2257303,Empire Bay Wharf,Empire Bay,帝国湾 (Empire Bay) 码头,帝国湾 (Empire Bay)
